Date,Day,Type,Category,Debit Amount,Credit Amount,Closing Balance
06/09/2018,Thursday,Debit,Shopping,2880.09,0,275322
07/09/2018,Friday,None,None,0,0,275322
08/09/2018,Saturday,Debit,ATM,10000,0,265322
08/09/2018,Saturday,Debit,ATM,10000,0,255322
08/09/2018,Saturday,Debit,Shopping,3257,0,252065
09/09/2018,Sunday,None,None,0,0,252065
10/09/2018,Monday,Debit,Rent,20000,0,232065
11/09/2018,Tuesday,Debit,Entertainment,202.19,0,231862.81
12/09/2018,Wednesday,None,None,0,0,231862.81
13/09/2018,Thursday,None,None,0,0,231862.81
14/09/2018,Friday,None,None,0,0,231862.81
15/09/2018,Saturday,Debit,Entertainment,243.66,0,231619.15
15/09/2018,Saturday,Debit,Shopping,5089,0,226530.15
16/09/2018,Sunday,Debit,Shopping,2569.88,0,223960.27
17/09/2018,Monday,None,None,0,0,223960.27
18/09/2018,Tuesday,Credit,Interest,0,19.27,223979.54
19/09/2018,Wednesday,Debit,ATM,10000,0,213979.54
20/09/2018,Thursday,Debit,Entertainment,202.19,0,213777.35
21/09/2018,Friday,None,None,0,0,213777.35
22/09/2018,Saturday,None,None,0,0,213777.35
23/09/2018,Sunday,Debit,Medical,1000,0,212777.35
24/09/2018,Monday,None,None,0,0,212777.35
25/09/2018,Tuesday,None,None,0,0,212777.35
26/09/2018,Wednesday,Credit,Interest,0,2250,215027.35
26/09/2018,Wednesday,Debit,Shopping,3000.65,0,212026.7
27/09/2018,Thursday,Debit,Entertainment,202.19,0,211824.51
28/09/2018,Friday,Credit,Interest,0,22.5,211847.01
28/09/2018,Friday,Credit,Salary,0,250254,462101.01
28/09/2018,Friday,Debit,Shopping,1869,0,460232.01
29/09/2018,Saturday,Debit,Shopping,1180,0,459052.01
29/09/2018,Saturday,Debit,Shopping,2108,0,456944.01
29/09/2018,Saturday,Debit,Shopping,202.19,0,456741.82
29/09/2018,Saturday,Debit,Shopping,202.19,0,456539.63
30/09/2018,Sunday,Debit,Shopping,1185,0,455354.63
30/09/2018,Sunday,Debit,ATM,10000,0,445354.63
30/09/2018,Sunday,Debit,Medical,1155.75,0,444198.88
30/09/2018,Sunday,Credit,Interest,0,1673,445871.88
01/10/2018, Monday, Debit, Shopping, 1300, 0, 444571.88
02/10/2018, Tuesday, Debit, Shopping, 567.92, 0, 443548.96
03/10/2018, Wednesday, Debit, Entertainment, 340.5, 0, 443208.46
04/10/2018, Thursday, Debit, Medical, 2500, 0, 440708.46
05/10/2018, Friday, Credit, Interest, 0, 24.75, 440733.21
06/10/2018, Saturday, Debit, Shopping, 832.6, 0, 439900.61
07/10/2018, Sunday, Debit, Restaurant, 510, 0, 439390.61
08/10/2018, Monday, Debit, Travel, 890, 0, 438500.61
09/10/2018, Tuesday, Credit, Salary, 0, 250254, 688754.61
10/10/2018, Wednesday, Debit, ATM, 15000, 0, 673754.61
11/10/2018, Thursday, Debit, Medical, 1200, 0, 672554.61
12/10/2018, Friday, Debit, Entertainment, 150, 0, 672404.61
13/10/2018, Saturday, Debit, Shopping, 1850, 0, 670554.61
14/10/2018, Sunday, Debit, Shopping, 1350, 0, 669204.61
15/10/2018, Monday, Debit, Restaurant, 600, 0, 668604.61
16/10/2018, Tuesday, Debit, Entertainment, 430.8, 0, 668173.81
17/10/2018, Wednesday, Debit, ATM, 10000, 0, 658173.81
18/10/2018, Thursday, Credit, Interest, 0, 22.5, 658196.31
19/10/2018, Friday, Debit, Shopping, 650, 0, 657546.31
20/10/2018, Saturday, Debit, Shopping, 742.2, 0, 656804.11
21/10/2018, Sunday, None, None, 0, 0, 656804.11
22/10/2018, Monday, Debit, Travel, 1000, 0, 655804.11
23/10/2018, Tuesday, Debit, Restaurant, 750, 0, 655054.11
24/10/2018, Wednesday, Credit, Interest, 0, 25.0, 655079.11
25/10/2018, Thursday, Debit, Shopping, 480.0, 0, 654599.11
26/10/2018, Friday, Debit, Entertainment, 200.0, 0, 654399.11
27/10/2018, Saturday, Debit, Travel, 800, 0, 653599.11
28/10/2018, Sunday, None, None, 0, 0, 653599.11
29/10/2018, Monday, Debit, Medical, 1300, 0, 652299.11
30/10/2018, Tuesday, Debit, Shopping, 3100, 0, 649199.11
31/10/2018, Wednesday, Debit, Shopping, 1200, 0, 648000.11
01/11/2018, Thursday, Debit, Entertainment, 150.0, 0, 647850.11
02/11/2018, Friday, Debit, Travel, 500, 0, 647350.11
03/11/2018, Saturday, Debit, Medical, 800, 0, 646550.11
04/11/2018, Sunday, Credit, Interest, 0, 18.4, 646568.51
05/11/2018, Monday, Debit, Shopping, 1020, 0, 645548.51
06/11/2018, Tuesday, Debit, Shopping, 1560, 0, 644008.51
07/11/2018, Wednesday, Debit, Entertainment, 390.5, 0, 643618.01
08/11/2018, Thursday, Debit, Restaurant, 500, 0, 643118.01
09/11/2018, Friday, Credit, Salary, 0, 250254, 893372.01
10/11/2018, Saturday, Debit, ATM, 10000, 0, 883372.01
11/11/2018, Sunday, Debit, Shopping, 1200, 0, 882172.01
12/11/2018, Monday, Debit, Shopping, 1800, 0, 880372.01
13/11/2018, Tuesday, Debit, Travel, 700, 0, 879672.01
14/11/2018, Wednesday, Debit, Shopping, 800, 0, 878872.01
15/11/2018, Thursday, Debit, Restaurant, 300, 0, 878572.01
16/11/2018, Friday, Debit, Entertainment, 350, 0, 878222.01
17/11/2018, Saturday, Debit, Shopping, 1500, 0, 876722.01
18/11/2018, Sunday, Credit, Interest, 0, 15.0, 876737.01
19/11/2018, Monday, Debit, Travel, 1200, 0, 875537.01
20/11/2018, Tuesday, Debit, Shopping, 950, 0, 874587.01
21/11/2018, Wednesday, Debit, Entertainment, 250, 0, 874337.01
22/11/2018, Thursday, Debit, Restaurant, 300, 0, 874037.01
23/11/2018, Friday, Credit, Interest, 0, 20.0, 874057.01
24/11/2018, Saturday, Debit, Travel, 700, 0, 873357.01
25/11/2018, Sunday, Debit, Shopping, 1200, 0, 872157.01
26/11/2018, Monday, Debit, ATM, 15000, 0, 857157.01
27/11/2018, Tuesday, Debit, Shopping, 700, 0, 856457.01
28/11/2018, Wednesday, Debit, Entertainment, 500, 0, 855957.01
29/11/2018, Thursday, Debit, Restaurant, 400, 0, 855557.01
30/11/2018, Friday, Credit, Salary, 0, 250254, 1107811.01
01/12/2018, Saturday, Debit, ATM, 12000, 0, 1095811.01
02/12/2018, Sunday, Debit, Shopping, 3000, 0, 1092811.01
03/12/2018, Monday, Debit, Shopping, 1200, 0, 1091611.01
04/12/2018, Tuesday, Debit, Restaurant, 700, 0, 1090911.01
05/12/2018, Wednesday, Debit, Entertainment, 450, 0, 1090461.01
06/12/2018, Thursday, Debit, Travel, 800, 0, 1089661.01
07/12/2018, Friday, Credit, Interest, 0, 23.5, 1089684.51
08/12/2018, Saturday, Debit, Shopping, 1400, 0, 1088284.51
09/12/2018, Sunday, Debit, Restaurant, 600, 0, 1087684.51
10/12/2018, Monday, Debit, Medical, 1100, 0, 1086584.51
11/12/2018, Tuesday, Debit, Entertainment, 200, 0, 1086384.51
12/12/2018, Wednesday, Debit, Shopping, 800, 0, 1085584.51
13/12/2018, Thursday, Debit, Travel, 600, 0, 1084984.51
14/12/2018, Friday, Credit, Interest, 0, 25.0, 1085009.51
15/12/2018, Saturday, Debit, Restaurant, 400, 0, 1084609.51
16/12/2018, Sunday, Debit, Shopping, 1200, 0, 1083409.51
17/12/2018, Monday, Debit, ATM, 10000, 0, 1073409.51
18/12/2018, Tuesday, Debit, Travel, 500, 0, 1072909.51
19/12/2018, Wednesday, Debit, Medical, 900, 0, 1072009.51
20/12/2018, Thursday, Debit, Shopping, 1500, 0, 1070509.51
21/12/2018, Friday, Debit, Entertainment, 300, 0, 1069209.51
22/12/2018, Saturday, Debit, Shopping, 1100, 0, 1068109.51
23/12/2018, Sunday, Debit, Restaurant, 600, 0, 1067509.51
24/12/2018, Monday, Debit, Shopping, 1300, 0, 1066209.51
25/12/2018, Tuesday, Debit, Entertainment, 200, 0, 1066009.51
26/12/2018, Wednesday, Debit, Medical, 1500, 0, 1064509.51
27/12/2018, Thursday, Credit, Interest, 0, 22.5, 1064532.01
28/12/2018, Friday, Debit, Restaurant, 300, 0, 1064232.01
29/12/2018, Saturday, Debit, Shopping, 1000, 0, 1063232.01
30/12/2018, Sunday, Debit, Entertainment, 400, 0, 1062832.01
31/12/2018, Monday, Debit, Medical, 1200, 0, 1061632.01
01/01/2019, Tuesday, Credit, Interest, 0, 20.0, 1061652.01
02/01/2019, Wednesday, Debit, Shopping, 800, 0, 1060852.01
03/01/2019, Thursday, Debit, Entertainment, 300, 0, 1060552.01
04/01/2019, Friday, Debit, Travel, 1200, 0, 1059352.01
05/01/2019, Saturday, Debit, Restaurant, 500, 0, 1058852.01
06/01/2019, Sunday, Debit, Shopping, 1100, 0, 1057752.01
07/01/2019, Monday, Credit, Salary, 0, 250254, 1308006.01
08/01/2019, Tuesday, Debit, Entertainment, 450, 0, 1307556.01
09/01/2019, Wednesday, Debit, Shopping, 1300, 0, 1306256.01
10/01/2019, Thursday, Debit, Travel, 700, 0, 1305556.01
11/01/2019, Friday, Debit, Restaurant, 400, 0, 1305156.01
12/01/2019, Saturday, Debit, Shopping, 2000, 0, 1303156.01
13/01/2019, Sunday, Debit, Entertainment, 200, 0, 1302956.01
14/01/2019, Monday, Debit, Shopping, 700, 0, 1302256.01
15/01/2019, Tuesday, Debit, Travel, 600, 0, 1301656.01
16/01/2019, Wednesday, Debit, Medical, 1500, 0, 1300156.01
17/01/2019, Thursday, Debit, Restaurant, 300, 0, 1299856.01
18/01/2019, Friday, Debit, Shopping, 1800, 0, 1298056.01
19/01/2019, Saturday, Credit, Interest, 0, 25.0, 1298081.01
20/01/2019, Sunday, Debit, ATM, 10000, 0, 1288081.01
